,population
"Alaska, US",660633
"Alabama, US",4530315
"Arkansas, US",2757631
"Arizona, US",5863809
"California, US",37691912
"Colorado, US",4678630
"Connecticut, US",3527249
"District of Columbia, US",552433
"Delaware, US",838549
"Florida, US",17671452
"Georgia, US",8975842
"Hawaii, US",1284220
"Iowa, US",2955010
"Idaho, US",1416564
"Illinois, US",12772888
"Indiana, US",6265933
"Kansas, US",2740759
"Kentucky, US",4206074
"Louisiana, US",4515939
"Massachusetts, US",6433422
"Maryland, US",5624246
"Maine, US",1325518
"Michigan, US",9883360
"Minnesota, US",5141953
"Missouri, US",5768151
"Mississippi, US",2901371
"Montana, US",930698
"North Carolina, US",8611367
"North Dakota, US",630529
"Nebraska, US",1757399
"New Hampshire, US",1316216
"New Jersey, US",169598
"New Mexico, US",1912684
"Nevada, US",2399532
"New York, US",19274244
"Ohio, US",11467123
"Oklahoma, US",3547049
"Oregon, US",3642919
"Pennsylvania, US",12440621
"Rhode Island, US",1050292
"South Carolina, US",4229842
"South Dakota, US",770184
"Tennessee, US",5935099
"Texas, US",22875689
"Utah, US",2427340
"Virginia, US",7642884
"Vermont, US",624501
"Washington, US",6271775
"Wisconsin, US",5535168
"West Virginia, US",1817871
"Wyoming, US",505907
Andorra,77006
United Arab Emirates,9630959
Afghanistan,37172386
Antigua and Barbuda,96286
Anguilla,13254
Albania,2866376
Armenia,2951776
Angola,30809762
Antarctica,140
Argentina,44494502
American Samoa,55465
Austria,8847037
Australia,24992369
Aruba,105845
Aland Islands,26711
Azerbaijan,9942334
Bosnia and Herzegovina,3323929
Barbados,286641
Bangladesh,161356039
Belgium,11422068
Burkina Faso,19751535
Bulgaria,7000039
Bahrain,1569439
Burundi,11175378
Benin,11485048
Saint Barthelemy,8450
Bermuda,63968
Brunei,428962
Bolivia,11353142
"Bonaire, Saint Eustatius and Saba ",18012
Brazil,209469333
Bahamas,385640
Bhutan,754394
Bouvet Island,0
Botswana,2254126
Belarus,9485386
Belize,383071
Canada,37058856
Cocos Islands,628
Democratic Republic of the Congo,84068091
Central African Republic,4666377
Republic of the Congo,5244363
Switzerland,8516543
Ivory Coast,25069229
Cook Islands,21388
Chile,18729160
Cameroon,25216237
China,1392730000
Colombia,49648685
Costa Rica,4999441
Cuba,11338138
Cabo Verde,543767
Curacao,159849
Christmas Island,1500
Cyprus,1189265
Czechia,10625695
Germany,82927922
Djibouti,958920
Denmark,5797446
Dominica,71625
Dominican Republic,10627165
Algeria,42228429
Ecuador,17084357
Estonia,1320884
Egypt,98423595
Western Sahara,273008
Eritrea,3000000
Spain,46723749
Ethiopia,109224559
Finland,5518050
Fiji,883483
Falkland Islands,2638
Micronesia,112640
Faroe Islands,48497
France,66987244
Gabon,2119275
United Kingdom,66488991
Grenada,111454
Georgia,3731000
French Guiana,195506
Guernsey,65228
Ghana,29767108
Gibraltar,33718
Greenland,56025
Gambia,2280102
Guinea,12414318
Guadeloupe,443000
Equatorial Guinea,1308974
Greece,10727668
South Georgia and the South Sandwich Islands,30
Guatemala,17247807
Guam,165768
Guinea-Bissau,1874309
Guyana,779004
Hong Kong,7451000
Heard Island and McDonald Islands,0
Honduras,9587522
Croatia,4089400
Haiti,11123176
Hungary,9768785
Indonesia,267663435
Ireland,4853506
Israel,8883800
Isle of Man,84077
India,1352617328
British Indian Ocean Territory,4000
Iraq,38433600
Iran,81800269
Iceland,353574
Italy,60431283
Jersey,90812
Jamaica,2934855
Jordan,9956011
Japan,126529100
Kenya,51393010
Kyrgyzstan,6315800
Cambodia,16249798
Kiribati,115847
Comoros,832322
Saint Kitts and Nevis,52441
North Korea,25549819
South Korea,51635256
Kosovo,1845300
Kuwait,4137309
Cayman Islands,64174
Kazakhstan,18276499
Laos,7061507
Lebanon,6848925
Saint Lucia,181889
